"Provincia","Canton","SquareMetersConstruction","SquareMetersTerrain","Price"
"San José","Pérez Zeledón",195,479,112100
"San José","Curridabat",478,675,555000
"San José","Escazú",340,700,420000
"Cartago","La Unión",145,167,145000
"Heredia","Heredia",200,140,136800
"San José","Desamparados",0,0,NA
"Heredia","Santo Domingo",190,210,189000
"San José","Vásquez de Coronado",145,220.13,118750
"San José","Vásquez de Coronado",368,3508,350000
"Heredia","Belén",200,786,329000
"Heredia","Heredia",138,138,117800
"Cartago","Cartago",195,204,170000
"San José","Escazú",0,0,NA
"San José","Tibás",200,572,2e+05
"Heredia","Heredia",135,199,155000
"Cartago","Cartago",0,0,NA
"San José","Aserrí",40,0,20900
"Alajuela","Naranjo",500,1437,385000
"Cartago","La Unión",140,140,119700
"Heredia","Heredia",155,202,135000
"Alajuela","Alajuela",159,431,179500
"Heredia","Heredia",164,164,138700
"Heredia","Heredia",120,150,100700
"Alajuela","Alajuela",144,983,247000
"Heredia","Santo Domingo",170,386,290000
"Heredia","Heredia",164,164,138700
"Alajuela","San Ramón",160,200,64600
"Heredia","San Rafael",160,271,167200
"Heredia","Heredia",164,150,189000
"San José","Santa Ana",516,821,950000
"Heredia","San Pablo",155,222,170000
"Heredia","Heredia",104,149,138700
"Heredia","Sarapiquí",230,1600,225000
"San José","San José",0,0,NA
"San José","San José",130,90,109250
"San José","Vásquez de Coronado",0,143,171000
"San José","Escazú",340,280,239000
"Alajuela","San Ramón",100,400,39900
"Heredia","Belén",640,996,625000
"San José","Santa Ana",214,420,359000
"Alajuela","Grecia",220,600,304000
"Heredia","Belén",550,500,930000
"San José","Dota",231,231,170000
"Alajuela","Orotina",0,0,NA
"San José","Moravia",190,169,250000
"Heredia","Heredia",130,155,145000
"San José","Escazú",250,317,3e+05
"Guanacaste","Cañas",130,195,95000
"Guanacaste","Liberia",210,690,350000
"San José","Santa Ana",350,210,420000
"San José","Escazú",320,330,290000
"San José","Tibás",140,140,65550
"San José","Desamparados",165,165,93100
"San José","Curridabat",200,210,342000
"Heredia","San Rafael",300,600,228000
"San José","Curridabat",226,217,235000
"Heredia","Heredia",190,237,NA
"San José","Tibás",170,219,171000
"Heredia","Heredia",170,90,133000
"Puntarenas","Esparza",200,563,209000
"San José","Vásquez de Coronado",150,258,152000
"Alajuela","Alajuela",0,0,714000
"Alajuela","Alajuela",200,600,256500
"Alajuela","Alajuela",132,132,79800
"Alajuela","Alajuela",95,143,95000
"Heredia","Belén",0,0,46500000
"Alajuela","Alajuela",185,250,142500
"Guanacaste","Santa Cruz",0,630,85500
"San José","Escazú",580,700,470000
"San José","Santa Ana",670,417,780000
"San José","Curridabat",270,251,235000
"San José","Curridabat",528,699,499000
"San José","Santa Ana",445,604,645000
"San José","Escazú",225,604,290000
"San José","San José",300,450,450000
"San José","Santa Ana",290,850,320000
"San José","Desamparados",96,96,81700
"Heredia","Heredia",183,170,198000
"Heredia","Flores",280,357,250000
"Heredia","Heredia",185,160,190000
"San José","Escazú",230,434,285000
"San José","Escazú",230,434,285000
"San José","San José",400,496,420000
"Heredia","Santo Domingo",190,275,250000
"San José","San José",534,270,250000
"Heredia","Barva",203,160,125400
"San José","San José",1300,1194,1773000
"San José","San José",160,307,108300
"San José","Escazú",390,1905,299000
"Heredia","San Rafael",147,147,70300
"Alajuela","Atenas",150,127,152000
"Heredia","San Pablo",165,184,144400
"San José","San José",0,0,NA
"Heredia","San Rafael",90,130,76000
"San José","Escazú",775,3011,410000
"Heredia","San Pablo",260,178,129200
"San José","Santa Ana",0,1300,0.0019
"San José","Desamparados",250,370,161500
"Heredia","Santa Bárbara",0,0,NA
"San José","Curridabat",120,129,123500
"San José","San José",0,0,NA
"Alajuela","Alajuela",350,1180,550000
"Heredia","Heredia",160,160,55100
"San José","Desamparados",150,300,114000
"Heredia","Heredia",195,140,179000
"Cartago","Cartago",160,160,49400
"San José","Curridabat",205,230,220000
"San José","Alajuelita",120,100,121600
"Alajuela","Atenas",140,205,150000
"Heredia","Santa Bárbara",0,0,95000
"Heredia","Belén",580,660,650000
"San José","Moravia",253,353,275000
"San José","Goicoechea",90,140,121600
"Cartago","El Guarco",0,100,104500
"San José","Moravia",650,850,750000
"San José","San José",300,372,250000
"Alajuela","Alajuela",185,156,188000
"Cartago","La Unión",210,0,190000
"Alajuela","Palmares",200,0,47500
"San José","San José",170,182,NA
"Heredia","San Rafael",240,850,334000
"San José","Vásquez de Coronado",0,0,1e+05
"Heredia","Heredia",110,78,87400
"San José","San José",104,104,93100
"Cartago","La Unión",146,157,140000
"San José","San José",152,152,108300
"San José","San José",230,152,119700
"San José","Goicoechea",350,352,3e+05
"Alajuela","Grecia",192,285,179500
"Guanacaste","Cañas",60,294,31929.4278
"San José","Santa Ana",400,836,599000
"Puntarenas","Parrita",200,300,190000
"Limón","Pococí",160,233,41800
"Heredia","Heredia",150,160,148200
"Heredia","San Pablo",335,174,240000
"San José","Montes de Oca",360,180,3e+05
"Alajuela","Alajuela",143,160,156750
"Alajuela","Alajuela",220,160,142500
"Alajuela","Atenas",116,320,2e+05
"Puntarenas","Corredores",100,160,55100
"Alajuela","Orotina",230,1000,100700
"San José","Desamparados",0,0,152000
"Cartago","Cartago",170,0,142500
"Cartago","La Unión",207,220,180000
"Cartago","Oreamuno",135,150,105450
"Cartago","Cartago",75,121,72200
"Cartago","Cartago",250,157,205000
"San José","Santa Ana",156,0,195000
"Cartago","Cartago",320,250,330000
"Cartago","Cartago",110,139,83410
"Cartago","Cartago",103,150,70110
"San José","San José",175,205,164000
"Guanacaste","Cañas",136,576,75768.3159
"San José","Escazú",160,427.19,89000
"San José","Goicoechea",280,701,123500
"San José","Santa Ana",290,850,320000
"San José","Santa Ana",290,850,320000
"San José","Escazú",400,850,680000
"San José","Santa Ana",450,650,650000
"San José","Escazú",350,450,450000
"Cartago","La Unión",165,160,160000
"San José","Montes de Oca",525,3224,745000
"San José","Curridabat",438,1178,6e+05
"Cartago","La Unión",102,154,83600
"Alajuela","Grecia",250,13338,102600
"San José","Desamparados",190,142,228000
"San José","Escazú",350,360,3850
"Guanacaste","Carrillo",134,1800,123500
"Cartago","Cartago",110,139,88616
"San José","Goicoechea",280,701,144400
"San José","Curridabat",330,0,365000
"Alajuela","Alajuela",165,161,160550
"San José","Escazú",169,0,175000
"Alajuela","Alajuela",112,79,1e+05
"Alajuela","Alajuela",275,267,245000
"San José","Curridabat",0,0,115000
"San José","Montes de Oca",0,0,140000
"San José","San José",350,370,280000
"Heredia","San Pablo",300,290,315000
"San José","Moravia",290,270,123500
"San José","Montes de Oca",145,170,139000
"Heredia","San Rafael",325,913,160000
"Heredia","Heredia",320,250,320000
"Guanacaste","Carrillo",200,238,250000
"San José","Escazú",700,1000,950000
"San José","Mora",350,1200,395000
"Heredia","Heredia",0,100,119700
"San José","Escazú",325,411,3e+05
"San José","San José",160,146,133000
"San José","Tibás",130,179,144400
"Heredia","San Rafael",140,200,165000
"Heredia","San Pablo",0,200,180500
"San José","San José",285,300,240000
"Heredia","Santa Bárbara",300,711,290000
"San José","Curridabat",580,2543,1500000
"Heredia","San Pablo",266,286,275500
"San José","Escazú",300,400,390000
"Heredia","San Pablo",195,215,210000
"San José","Escazú",400,750,410000
"San José","Santa Ana",375,4099,6e+05
"San José","Santa Ana",190,226,240000
"Alajuela","Atenas",150,127,152000
"Heredia","Santo Domingo",210,272,230000
"San José","Curridabat",359,1309,875000
"Heredia","Belén",0,249,450000
"Alajuela","Alajuela",300,1218,480000
"Guanacaste","Liberia",159,404,125974.75
"Guanacaste","Liberia",179,410,142747
"Guanacaste","Liberia",136,314,54340
"San José","Escazú",633,5411,6e+05
"San José","Tibás",366.92,0,215000
"San José","San José",287,139,205000
"San José","Escazú",3600,1360,5900000
"San José","Escazú",138,138,124000
"Puntarenas","Puntarenas",74,225,0.0019
"Heredia","Santo Domingo",220,260,185000
"San José","San José",75,150,110000
"Alajuela","Grecia",110,300,93100
"Limón","Guácimo",120,1500,95000
"Heredia","Heredia",187,187,170000
"San José","San José",295,295,182000
"Puntarenas","Esparza",244,838,360000
"Puntarenas","Esparza",169,1400,175000
"San José","Alajuelita",125,95,121600
"Cartago","Oreamuno",70,150,85500
"Cartago","La Unión",452,289,340000
"San José","Curridabat",226,205,250000
"San José","Curridabat",200,313,3e+05
"Cartago","El Guarco",127,148,123500
"San José","Vásquez de Coronado",280,3200,260000
"Puntarenas","Puntarenas",535,250,0.0019
"San José","Mora",184,320,189000
"San José","Escazú",334,292,480000
"San José","San José",160,202,152000
"San José","Escazú",400,675,375000
"Alajuela","Grecia",220,280,161500
"San José","San José",380,402,330000
"Heredia","Barva",120,225,130000
"San José","Escazú",0,140,170000
"Heredia","San Rafael",254,417,255000
"Heredia","Heredia",109,111,102000
"San José","Curridabat",290,440,260000
"Heredia","San Isidro",552,1433,0.0019
"Heredia","Barva",160,179,133000
"Heredia","Flores",305,695,4e+05
"San José","San José",400,544,365000
"Heredia","Barva",280,420,360000
"San José","Montes de Oca",360,180,350000
"Heredia","Heredia",115,120,102600
"Heredia","San Pablo",125,150,123500
"Heredia","Heredia",175,164,175000
"San José","Vásquez de Coronado",185,215,152000
"Alajuela","San Mateo",310,1400,0.0019
"San José","Curridabat",210,671,350000
"San José","Montes de Oca",120,120,114000
"San José","Moravia",800,1625,7e+05
"San José","Curridabat",554,480,450000
"San José","Curridabat",450,510,4e+05
"San José","Desamparados",111,120,46249.8
"Heredia","Heredia",150,100,127300
"Heredia","Heredia",185,319,225000
"San José","Goicoechea",205,320,5e+05
"Heredia","Heredia",188,171,145000
"San José","Montes de Oca",150,170,153900
"San José","Mora",220,220,239000
"San José","Curridabat",250,235,215000
"Cartago","El Guarco",100,135,81700
"Heredia","Belén",250,240,345000
"San José","Santa Ana",175,130,179000
"Cartago","La Unión",155,211,153000
"San José","Escazú",300,305,298999
"Heredia","Heredia",162,160,177500
"Alajuela","Alajuela",75,111,99000
"San José","San José",155,155,167200
"San José","Desamparados",120,226,135000
"San José","Desamparados",96,94,96900
"San José","Santa Ana",0,0,150000
"San José","Curridabat",210,55,235000
"San José","Santa Ana",160,120,2e+05
"Heredia","San Rafael",200,640,305000
"San José","Montes de Oca",120,170,160000
"San José","Curridabat",270,215,270000
"San José","Curridabat",200,150,240000
"San José","Montes de Oca",200,215,215000
"Cartago","La Unión",215,262,225000
"San José","Santa Ana",140,195,260000
"San José","Santa Ana",200,260,260000
"Puntarenas","Puntarenas",0,0,2300000
"San José","Escazú",119,0,205000
"San José","Escazú",178,164,2e+05
"Heredia","Heredia",172,188,145000
"Heredia","Heredia",148,160,155800
"San José","Aserrí",120,135,117800
"San José","Santa Ana",230,0,329000
"San José","Santa Ana",291,491,4e+05
"Heredia","Heredia",140,160,185000
"San José","Escazú",331,373,430000
"San José","Santa Ana",155,0,185000
"Heredia","Heredia",190,250,205000
"Cartago","Cartago",0,0,102500
"Heredia","Belén",215,210,205000
"San José","Santa Ana",160,100,202000
"Alajuela","Alajuela",150,170,175000
"San José","Escazú",170,220,161500
"San José","San José",0,0,NA
"Heredia","Heredia",0,0,140000
"Heredia","Heredia",0,0,225000
"San José","Escazú",219,251,4e+05
"San José","Montes de Oca",156,207,173000
"San José","Curridabat",160,0,125000
"San José","Goicoechea",0,0,148200
"Alajuela","Alajuela",85,0,90000
"San José","Escazú",180,185,230000
"San José","Escazú",220,0,1e+06
"San José","Curridabat",150,0,155000
"Heredia","Heredia",210,250,180000
"Heredia","Heredia",136,176,143000
"Cartago","La Unión",236,315,598.5
"Cartago","La Unión",236,315,598.5
"Alajuela","Alajuela",86,86,99000
"Heredia","Belén",0,0,NA
"San José","Montes de Oca",120,0,149000
"San José","Montes de Oca",313,310,315000
"Cartago","La Unión",152,140,190000
"San José","Curridabat",179,140,210000
"San José","Escazú",155,266,150000
"San José","Santa Ana",240,269,279000
"San José","Desamparados",65,75,76000
"San José","Montes de Oca",223,223,250000
"San José","Santa Ana",0,0,750000
"Heredia","Heredia",170,195,215000
"Cartago","La Unión",129,129.3,115000
"San José","Curridabat",135,140,63650
"San José","San José",309,0,390000
"Heredia","Heredia",234,310,346000
"San José","Curridabat",220,203,230000
"San José","Escazú",250,270,340000
"San José","Montes de Oca",170,140,148200
"Heredia","Belén",187,175,220000
"San José","Escazú",400,338,380000
"San José","Curridabat",190,290,NA
"San José","Desamparados",0,0,NA
"Heredia","Heredia",86,0,180000
"San José","Santa Ana",100,140,156000
"San José","Curridabat",220,0,215000
"San José","Escazú",0,0,NA
"Heredia","Heredia",220,315,250000
"Puntarenas","Garabito",60,5000,165000
"Alajuela","Alajuela",135,157,140000
"Heredia","San Rafael",200,185,190000
"San José","Escazú",350,250,360000
"San José","Curridabat",157,100,148000
"San José","Santa Ana",147,185,187000
"San José","Santa Ana",147,185,182000
"San José","Curridabat",0,0,115000
"San José","Montes de Oca",0,0,140000
"Guanacaste","Santa Cruz",0,0,125000
"San José","Santa Ana",480,0,720000
"Heredia","Heredia",65,65,80000
"San José","Escazú",178,0,210000
"San José","Santa Ana",310,414,475000
"San José","Escazú",250,250,235000
"San José","Escazú",230,0,235000
"San José","Escazú",164,0,199000
"Alajuela","Alajuela",140,250,155000
"San José","Escazú",210,0,250000
"Puntarenas","Puntarenas",0,0,112000
"San José","Escazú",250,0,275000
"Guanacaste","Santa Cruz",300,0,1050000
"San José","San José",103,104,112100
"San José","Moravia",0,0,130000
"Cartago","Cartago",100,0,105000
"San José","Escazú",400,0,450000
"Heredia","Heredia",120,160,190000
"San José","Santa Ana",208,0,170000
"San José","Escazú",220,200,270000
"San José","Moravia",200,242,252000
"Cartago","La Unión",200,200,180000
"Alajuela","San Ramón",80,400,81700
"San José","Escazú",280,280,445000
"Heredia","Heredia",70,0,108000
"San José","San José",90,105,95000
"San José","Santa Ana",129,0,192000
"San José","Montes de Oca",120,200,115000
"San José","San José",50,0,75000
"Heredia","Flores",60,0,45600
"San José","Montes de Oca",0,0,120000
"San José","San José",170,0,499000
"San José","Escazú",46,0,130000
"Heredia","Belén",120,0,192000
"Heredia","Belén",80,0,129000
"Cartago","La Unión",115,0,145000
"Alajuela","Alajuela",94,94,108000
"San José","San José",0,0,123500
"Heredia","San Rafael",103,131,2e+05
"San José","San José",128,130,133000
"San José","Montes de Oca",48,61,96000
"Heredia","Santa Bárbara",0,0,171000
"San José","San José",105,0,190000
"San José","San José",95,0,114000
"Guanacaste","Santa Cruz",53,0,90000
"Guanacaste","Santa Cruz",120,0,220000
"San José","Santa Ana",60,80,130000
"San José","San José",85,85,106000
"San José","San José",0,0,NA
"San José","Montes de Oca",90,90,130000
"Heredia","San Pablo",160,210,144400
"San José","Escazú",220,0,340000
"San José","Desamparados",42,42,74100
"San José","Escazú",91,0,119900
"Heredia","Santa Bárbara",0,0,180500
"Alajuela","Alajuela",0,90,98000
"San José","Santa Ana",0,0,1e+05
"San José","Escazú",309,0,350000
"San José","Curridabat",215,215,320000
"Cartago","La Unión",320,250,176700
"Cartago","La Unión",284,225,342000
"Alajuela","Grecia",0,0,950000
"San José","Santa Ana",112,112,158000
"San José","Santa Ana",0,118,185000
"San José","Montes de Oca",86,70,130000
"Limón","Pococí",449,821,3e+05
"San José","Escazú",136,136,250000
"San José","San José",0,0,135000
"Heredia","Heredia",0,0,108000
"Heredia","Barva",220,180,228000
"Heredia","Heredia",0,0,90250
"San José","Santa Ana",88,122,160000
"San José","Curridabat",126,160,135000
"San José","Tibás",92,16000,114900
"San José","San José",88,0,135000
"San José","Escazú",90,0,140000
"San José","San José",90,0,170000
"San José","Montes de Oca",95,0,162000
"San José","Curridabat",0,0,180000
"San José","Curridabat",98,98,113000
"San José","Santa Ana",83,0,165000
"San José","Alajuelita",180,117,94050
"San José","Curridabat",97,97,185000
"San José","San José",80,80,90000
"Heredia","Santo Domingo",225,195,176700
"San José","Curridabat",165,335,175000
"Heredia","Heredia",183,263,2e+05
"San José","Curridabat",187,250,178000
"Heredia","Barva",121,171,146900
"Heredia","Heredia",230,303,2e+05
"San José","San José",250,410,320000
"Alajuela","Alajuela",130,187,117500
"Alajuela","Alajuela",141,200,144500
"Alajuela","Alajuela",90,200,111500
"Alajuela","Alajuela",77,200,101500
"Alajuela","Alajuela",65,200,91500
"Heredia","Heredia",171,200,160000
"Heredia","Heredia",156,200,145000
"Heredia","Heredia",112,200,126000
"Alajuela","Alajuela",126,200,101000
"Alajuela","Alajuela",188,200,152200
"Alajuela","Alajuela",100,200,91000
"Alajuela","Alajuela",111,200,101000
"San José","San José",180,180,169000
"San José","San José",450,355,275000
"Heredia","Heredia",120,80,95000
"Heredia","San Pablo",130,150,115000
"Cartago","La Unión",150,100,132050
"Cartago","La Unión",145,100,148200
"Cartago","La Unión",170,180,145000
"Heredia","San Pablo",100,136.94,127500
"San José","Montes de Oca",160,175,159000
"Alajuela","Alajuela",120,170,114000
"Alajuela","Alajuela",400,717,550000
"San José","Desamparados",176,176,161500
"San José","San José",280,209,220000
"Heredia","Heredia",101,200,115000
"Heredia","Flores",190,314,2e+05
"Heredia","San Isidro",405,931,470000
"San José","Desamparados",118,133,NA
"San José","San José",0,705,NA
"Cartago","Cartago",110,120,60800
"Cartago","Cartago",170,221,148200
"San José","Desamparados",2248,300,450000
"Cartago","La Unión",160,120,161500
"Cartago","La Unión",152,183,123500
"Cartago","La Unión",151,161,155000
"San José","Curridabat",80,0,72200
"Alajuela","Alajuela",700,26435,1200000
"San José","Escazú",0,0,280000
"Cartago","La Unión",350,0,280000
"Cartago","Cartago",110,110,47500
"Heredia","Heredia",200,339,209000
"San José","Tibás",208,208,180500
"Limón","Limón",194,134,97850
"Alajuela","Orotina",200,310,131100
"Cartago","La Unión",151,120,155000
"San José","Escazú",250,568,280000
"San José","Escazú",347,0,385000
"San José","Vásquez de Coronado",400,709,425000
"San José","San José",130,90,109250
"San José","San José",336,300,250000
"Heredia","Heredia",250,208,235000
"Heredia","Heredia",260,323,265000
"Heredia","Santa Bárbara",155,297,144400
"Heredia","San Isidro",146.5,301,210000
"Heredia","Barva",213,230,180000
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"San José","Tibás",400,210,148200
"Alajuela","Alajuela",140,160,91200
"San José","Moravia",119,119,90000
"Alajuela","Alajuela",0,0,NA
"Alajuela","Alajuela",0,0,NA
"Alajuela","Alajuela",0,0,NA
"Alajuela","Alajuela",0,0,NA
"Alajuela","Alajuela",0,0,NA
"San José","San José",0,0,NA
"San José","San José",0,0,310000
"San José","Moravia",220,208.5,260000
"Heredia","Belén",200,1245,490000
"Heredia","Barva",180,240,133000
"San José","San José",0,0,298300
"Alajuela","Alajuela",800,0,91200
"Heredia","Heredia",176,136,140000
"Cartago","El Guarco",140,140,133000
"Alajuela","Alajuela",1057,3279,2e+06
"Cartago","El Guarco",175,180,159000
"Cartago","La Unión",250,243,295000
"San José","Curridabat",250,243,295000
"Heredia","Santo Domingo",250,500,270000
"Heredia","San Isidro",0,0,NA
"Guanacaste","Liberia",457,80000,1500000
"Puntarenas","Garabito",150,150,115000
"San José","San José",0,0,NA
"Puntarenas","Esparza",2000,0,23750
"San José","San José",450,650,385000
"San José","San José",700,1020,1350000
"San José","San José",0,0,310000
"Alajuela","Alajuela",65,205,83000
"San José","Goicoechea",300,600,3e+05
"San José","San José",129,157,2e+05
"Heredia","Heredia",147,288,189900
"Cartago","La Unión",160,150,150000
"Guanacaste","Tilarán",380,854,152614.27
"Guanacaste","Liberia",159,404,125974.75
"San José","Goicoechea",0,0,91000
"Limón","Guácimo",270,600,95000
"Guanacaste","Liberia",179,410,142747
"Puntarenas","Puntarenas",130,10200,133000
"San José","Escazú",350,1250,450000
"Puntarenas","Esparza",125,5040,475000
"Cartago","La Unión",145,100,150000
"San José","Santa Ana",315,401,242000
"San José","Escazú",320,850,430000
"Alajuela","Alajuela",315,259,209000
"San José","Moravia",286,168,209000
"Guanacaste","Liberia",136,314,54340
"Alajuela","Alajuela",230,277,190000
"Heredia","Heredia",200,126,123500
"Cartago","Oreamuno",201,198,152000
"Alajuela","Alajuela",170,362,228000
"Guanacaste","Liberia",219,180,123740.54
"Heredia","San Pablo",0,0,119000
"Heredia","Barva",0,0,668000
"Heredia","San Isidro",0,0,209000
"Alajuela","Alajuela",0,0,104500
"San José","San José",0,0,5e+05
"Cartago","Cartago",130,137,89300
"Heredia","San Pablo",0,0,135000
"Alajuela","Alajuela",0,0,133000
"Heredia","Barva",250,366,250000
"Alajuela","Atenas",400,7000,4e+05
"Alajuela","Grecia",150,2050,142500
"Alajuela","San Mateo",240,4522,247000
"Heredia","Belén",290,1117,338000
"San José","Tibás",121,121,114000
"Heredia","Heredia",130,153,98800
"San José","Curridabat",0,0,255000
"Heredia","Heredia",147,160,165000
"Heredia","Heredia",170,183,198000
"Heredia","Flores",245,213,208000
"San José","Moravia",250,350,2e+05
"San José","Santa Ana",170,204,170000
"San José","San José",0,0,310000
"Heredia","Heredia",140,195,179000
"Cartago","Cartago",0,0,NA
"Heredia","Heredia",120,150,129200
"San José","Escazú",330,165,230000
"San José","Moravia",0,0,119700
"Puntarenas","Esparza",110,591,104500
"Heredia","San Isidro",300,15029,425000
"San José","San José",375,272,280000
"Alajuela","Alajuela",76,249,117800
"San José","Goicoechea",150,130,112100
"San José","Vásquez de Coronado",200,1251,415000
"San José","Goicoechea",172,172,118750
"Guanacaste","Santa Cruz",250,1350,390000
"Cartago","Cartago",150,103,76532
"Cartago","El Guarco",150,1406,128250
"San José","San José",175,205,176000
"San José","Escazú",160,427,89000
"San José","San José",0,0,310000
"Cartago","Cartago",100,160,60800
"San José","Desamparados",140,140,142500
"Alajuela","Alajuela",117,195,121600
"Heredia","Heredia",168,0,164
"Cartago","La Unión",160,120,169000
"San José","Escazú",0,0,NA
"San José","Tibás",155,134,110200
"Heredia","San Pablo",125,150,130000
"Cartago","Cartago",128,160,123500
"San José","San José",178.54,180,171000
"San José","Moravia",130,341,142500
"San José","Vásquez de Coronado",148,153,129200
"Alajuela","Alajuela",0,0,79800
"Alajuela","San Carlos",0,0,7220000
"San José","Moravia",160,371,15200000
"San José","Escazú",200,160,161500
"Cartago","Paraíso",160,200,104310
"Cartago","El Guarco",70,142,NA
"San José","Moravia",180,180,155000
"San José","Montes de Oca",180,200,195000
"San José","Montes de Oca",0,0,NA
"San José","Alajuelita",123,123,35150
"San José","San José",0,0,130000
"Puntarenas","Puntarenas",536,4000,795000
"San José","San José",205,175,164000
"Heredia","San Rafael",400,620,450000
"San José","Escazú",160,427,89000
"Heredia","Barva",203,160,124217.3165
"San José","Goicoechea",280,701,123500
"San José","Curridabat",1500,2800,1160000
"San José","Santa Ana",450,450,779000
"San José","San José",0,0,NA
"Puntarenas","Puntarenas",250,7000,365000
"Cartago","La Unión",182,300,230000
"Cartago","Paraíso",62,162,59300
"San José","Montes de Oca",200,200,190000
"Cartago","Oreamuno",90,175,89300
"San José","Desamparados",300,0,NA
"Heredia","Santo Domingo",0,200,163400
"San José","San José",511,250,350000
"Heredia","San Pablo",0,0,161500
"Heredia","Heredia",0,0,172900
"Heredia","Heredia",0,0,133000
"San José","Moravia",200,285,228000
"San José","Curridabat",397,345,350000
"Heredia","Santo Domingo",217,522,294500
"Heredia","Barva",0,0,139650
"Heredia","Heredia",116,140,138000
"San José","Santa Ana",290,275,450000
"San José","Moravia",250,350,190000
"Alajuela","Alajuela",160,1287,304000
"Heredia","Heredia",120,120,85500
"Puntarenas","Puntarenas",300,1014,218500
"Alajuela","Alajuela",180,110,66500
"Heredia","Heredia",205,214,148808
"San José","Goicoechea",160,180,135000
"Heredia","Barva",176,178,165000
"Heredia","Heredia",120,120,80750
"Heredia","San Isidro",385,1765,207955
"Heredia","San Isidro",503,4458,360847.525
"Heredia","Heredia",414,683,329258.6
"Heredia","San Rafael",260,860,684
"San José","Santa Ana",346,850,310000
"Heredia","San Pablo",314,2271,319576.2
"San José","Santa Ana",483,718,910000
"San José","Santa Ana",617,417,780000
"Alajuela","Atenas",180,496,152000
"San José","Escazú",445,604,645000
"Alajuela","Atenas",206,355,170000
"San José","Escazú",225,650,290000
"San José","San José",600,1200,630000
"Heredia","San Rafael",350,400,161500
"San José","Montes de Oca",237,346,265000
"Cartago","Cartago",130,203,120000
"San José","Curridabat",110,105,104500
"Cartago","La Unión",315,236,315000
"San José","San José",0,815,275500
"San José","Curridabat",189,204,165000
"Cartago","La Unión",160,213,148200
"San José","Desamparados",135,192,128000
"Heredia","Heredia",165,180,123500
"Cartago","Paraíso",145,160,98800
"San José","Curridabat",150,317,140000
"San José","Escazú",219,212,NA
"San José","Montes de Oca",248,620,285000
"San José","Desamparados",140,120,74100
"San José","Tibás",240,300,160000
"Cartago","Cartago",0,0,NA
"San José","Escazú",400,1200,NA
"Heredia","San Pablo",110,170,102600
"San José","San José",0,0,2.7e+07
"San José","Desamparados",0,0,66500
"San José","San José",170,100,76000
"San José","San José",135,135,120000
"San José","Alajuelita",90,90,51490
"Heredia","Heredia",110,110,1e+05
"Heredia","San Rafael",290,1351,286000
"Puntarenas","Puntarenas",74,225,30400
"Cartago","Cartago",120,138,73910
"Heredia","Santo Domingo",200,245,160000
"Heredia","Belén",200,786,329000
"Cartago","Cartago",215,187,161500
"Cartago","Oreamuno",250,250,66500
"Heredia","Heredia",135,199,155000
"San José","San José",260,318,215000
"Heredia","Heredia",0,0,2.28
"San José","Montes de Oca",390,538,350000
"San José","Curridabat",588,374,342950
"Heredia","Heredia",155,202,135000
"Alajuela","Grecia",45,275,72200
"San José","Curridabat",588,374,342950
"Heredia","Heredia",120,150,100700
"Heredia","Heredia",90,178,129200
"Alajuela","Naranjo",300,155,2375
"Alajuela","Alajuela",51,124,50350
"Alajuela","Alajuela",144,983,247000
"Heredia","Santo Domingo",170,386,290000
"Heredia","Heredia",115,120,98800
"San José","Escazú",255,284,250000
"Puntarenas","Garabito",0,0,NA
"Guanacaste","Bagaces",130,6228,85500
"Alajuela","Alajuela",230,185,92150
"Alajuela","Alajuela",130,170,98800
"Puntarenas","Puntarenas",236,750,130066.2727
"Alajuela","Alajuela",159,159,95000
"Alajuela","Alajuela",190,160,174800
"Alajuela","Alajuela",0,0,95000
"Heredia","Barva",169,169,250000
"Alajuela","Alajuela",0,0,152000
"Alajuela","Alajuela",0,0,123500
"San José","San José",0,0,NA
"Heredia","Heredia",0,0,165000
"Heredia","San Pablo",0,0,163400
"San José","San José",550,325,450000
"Heredia","Santo Domingo",0,0,163400
"Guanacaste","Carrillo",60,400,28500
"San José","Mora",985,55000,2800000
"Heredia","Belén",0,0,NA
"Heredia","Heredia",0,0,235980
"San José","Vásquez de Coronado",350,2000,385000
"San José","Tibás",260,312,161500
"San José","San José",0,0,250000
"Limón","Pococí",0,0,38000
"Heredia","San Rafael",0,0,114000
"Heredia","Barva",310,720,270000
"San José","Desamparados",110,143,64505
"San José","Desamparados",110,110,89205
"San José","Vásquez de Coronado",258,1715,199500
"San José","Desamparados",150,150,66481
"San José","San José",220,220,132810
"San José","Santa Ana",4099,315,550000
"San José","Aserrí",165,153,90000
"San José","Mora",3000,44000,1300000
"Alajuela","Alajuela",160,160,130000
"Alajuela","Alajuela",600,8575,1650000
"San José","Tibás",280,171,280000
"Heredia","Barva",350,468,304000
"San José","Moravia",250,467,4e+05
"San José","Santa Ana",100,140,156000
"San José","Curridabat",410,1300,650000
"Heredia","Heredia",100,120,119700
"San José","San José",0,0,NA
"Cartago","Cartago",158,201,149788.02
"San José","Mora",200,300,228000
"Cartago","Cartago",125,165.35,108300
"San José","Desamparados",1,1,117800
"San José","San José",300,0,280000
"San José","Escazú",200,0,350000
"San José","Escazú",225,450,230000
"San José","Escazú",280,450,280000
"San José","Santa Ana",150,0,235000
"Heredia","Barva",270,420,360000
"San José","Santa Ana",500,1000,995000
